 YEARMODA,   TEMP,PRCP  
19980315,90.4, 0.00C
19980316,87.9, 0.00C
19980317,84.8, 0.00D
19980318,86.7, 0.00D
19980319,86.3, 0.00D
19980320,89.8, 0.00D
19980321,91, 0.00C
19980322,90.3, 0.00D
19980323,91, 0.00D
19980324,94.6, 0.00B
19980325,89.7, 0.00C
19980326,88.5, 0.00D
19980327,88.7, 0.00D
19980328,89, 0.00D
19980329,89.6, 0.00D
19980330,95.9, 0.00C
19980331,93.9, 0.00D
19980401,89.2, 0.00D
19980402,91.1, 0.00D
19980403,95.8, 0.00C
19980404,93.3, 0.00C
19980405,95.5, 0.00D
19980406,97.1, 0.00D
19980407,96.2, 0.00B
19980408,92.3, 0.00C
19980409,98.2, 0.00C
19980410,98.5, 0.00C
19980411,94.9, 0.00C
19980412,93.4, 0.00D
19980413,93.2, 0.00D
19980414,92.5, 0.00D
19980415,95.4, 0.00H
19980416,102.8, 0.00B
19980417,97.9, 0.00D
19980418,97.7, 0.00B
19980419,82.9, 0.39G
19980420,90.1, 0.00G
19980421,86.6, 0.01B
19980422,89.7, 0.00D
19980423,94.2, 0.00D
19980424,91.8, 0.00D
19980425,93.9, 0.00C
19980426,90.1, 0.91G
19980427,91.2, 0.00G
19980428,89.4, 0.00H
19980429,86.1, 1.10G
19980430,81, 0.12G
19980501,85.1, 0.00G
19980502,79.1, 1.46G
19980503,85.7, 0.02G
19980504,88.6, 0.00G
19980505,87, 0.04G
19980506,89.7, 0.00G
19980507,90.7, 0.00D
19980508,90.4, 0.00C
19980509,91.1, 0.00D
19980510,90.3, 0.00D
19980511,85.3, 0.02G
19980512,90.1, 0.00G
19980513,84.1, 0.00H
19980514,84.7, 0.55G
19980515,88.9, 0.00G
19980516,83.4, 0.24G
19980517,88.2, 0.00G
19980518,85.9, 0.00G
19980519,86.6, 1.38G
19980520,89, 0.00G
19980521,84.1, 0.12G
19980522,87.8, 0.00G
19980523,83.8, 1.26G
19980524,86.8, 0.00G
19980525,88.2, 0.00C
19980526,87.7, 0.00D
19980527,91.5, 0.00D
19980528,82.3, 1.30G
19980529,86.5, 0.00G
19980530,89.8, 0.00C
19980531,85.1, 0.00H
19980601,83.6, 1.38G
19980602,79.4, 0.20G
19980603,80.8, 0.59G
19980604,84.3, 0.00G
19980605,79.4, 0.00B
19980606,84, 0.00C
19980607,88.3, 0.00D
19980608,79.8, 0.00A
19980609,80.9, 0.00B
19980610,89.8, 0.00B
19980611,88, 0.00D
19980612,80.5, 0.67G
19980613,83.7, 0.01G
19980614,78.8, 0.00G
19980615,81.7, 0.98G
19980616,79.8, 0.71G
19980617,85.2, 0.00G
19980618,77.7, 0.00H
19980619,79.9, 0.00C
19980620,83, 0.00D
19980621,80.6, 1.30G
19980622,83, 0.00G
19980623,83, 0.00D
19980624,85.3, 0.00D
19980625,80.4, 0.00C
19980626,85.7, 0.00D
19980627,87.6, 0.00D
19980628,78.6, 0.79G
19980629,82.4, 0.02G
19980630,85.7, 0.00G
19980701,80.9, 2.17G
19980702,81.2, 0.00G
19980703,82.9, 0.28G
19980704,84.2, 0.00G
19980705,87.4, 0.00B
19980706,83.2, 0.00C
19980707,83.3, 0.00D
19980708,84.9, 0.00D
19980709,85, 0.00D
19980710,83.2, 0.00C
19980711,82.3, 0.00H
19980712,78.5, 0.12G
19980713,76.8, 0.20G
19980714,78.7, 3.58G
19980715,75.7, 0.01G
19980716,78.7, 0.94G
19980717,83.1, 0.00G
19980718,79.5, 1.54G
19980719,80.1, 0.00G
19980720,77.7, 0.55G
19980721,78.4, 0.02G
19980722,79, 0.35G
19980723,78.5, 1.50G
19980724,81, 0.02G
19980725,79.8, 0.00G
19980726,81.3, 0.00D
19980727,80.6, 0.00D
19980729,80.2, 0.00G
19980730,82.2, 0.00G
19980731,83, 0.00D
19980801,78.9, 0.00C
19980802,79, 0.94G
19980803,77.6, 0.00G
19980806,78.8, 0.00G
19980808,78.6, 0.39C
19980810,76.8, 0.00A
19980813,74.1, 1.57G
19980814,73.6, 0.67G
19980815,73.1, 1.42G
19980817,83.2, 0.00B
19980818,80.1, 0.47G
19980819,78.2, 0.00G
19980820,79.1, 0.91G
19980821,80, 0.24G
19980822,81.7, 0.00G
19980823,76.3, 1.18G
19980824,77.7, 0.00G
19980825,77, 0.00G
19980826,78.1, 0.02G
19980827,79.7, 0.00G
19980828,82.4, 0.00D
19980829,78.4, 0.04B
19980830,78.7, 0.00C
19980831,76, 1.02B
19980901,77, 0.00H
19980902,78.6, 0.04C
19980903,81.5, 0.00D
19980904,77.5, 1.22C
19980905,79.7, 0.00C
19980906,76.5, 0.01C
19980907,78.4, 0.16G
19980908,74.4, 0.00G
19980909,77.7, 2.05G
19980910,80.7, 0.00G
19980911,79.1, 0.28C
19980912,82.6, 0.00C
19980913,78.5, 0.00D
19980914,78.6, 0.00H
19980915,77.4, 0.20G
19980916,79.8, 0.00G
19980917,80.7, 0.20G
19980918,77.1, 0.00G
19980919,77.7, 1.34G
19980920,79.9, 0.00G
19980921,78.1, 0.43G
19980922,80.6, 0.28G
19980923,80.5, 0.00G
19980925,76.9, 0.35B
19980926,82.1, 0.00C
19980927,82, 0.00D
19980928,81.4, 0.00D
19980929,81.4, 0.39G
19980930,80, 1.18G
19981001,80.6, 0.00G
19981002,80.8, 0.04G
19981003,84.1, 0.00G
19981004,83.3, 0.00C
19981005,82.9, 0.00C
19981006,84.9, 0.00D
19981007,81.1, 0.20G
19981008,75.5, 0.00G
19981009,78.7, 0.08G
19981010,82.6, 0.00G
19981011,80.3, 0.00B
19981012,79.3, 0.31G
19981013,81.3, 0.00G
19981014,81.6, 0.00D
19981015,81.2, 0.00D
19981016,83.2, 0.00D
19981017,78.8, 0.00D
19981018,81.2, 0.00D
19981019,82.2, 0.00D
19981020,84.1, 0.00D
19981021,82.7, 0.00D
19981022,79.3, 0.00B
19981023,82, 0.00C
19981024,80.4, 0.00D
19981025,81.9, 0.00D
19981026,84.4, 0.00D
19981027,83.8, 0.00D
19981028,83.2, 0.00D
19981029,80.8, 0.00D
19981030,83.7, 0.00D
19981031,81.2, 0.00C
19981101,80.3, 0.00C
19981102,81.6, 0.00D
19981103,80, 0.00D
19981104,82.4, 0.00D
19981105,83.2, 0.00D
19981106,82, 0.00D
19981107,82, 0.00D
19981108,80.9, 0.00D
19981109,82.6, 0.00D
19981110,81, 0.00D
19981111,82.7, 0.00D
19981112,81.3, 0.00D
19981113,80.9, 0.00D
19981114,81.7, 0.00D
19981115,79.2, 0.00C
19981116,82.6, 0.00D
19981117,84.3, 0.00D
19981118,82.9, 0.00D
19981119,82.6, 0.00D
19981120,80.6, 0.00D
19981121,82.2, 0.00D
19981122,83.1, 0.00D
19981123,85.2, 0.00C
19981124,83.1, 0.00D
19981125,84.7, 0.00D
19981126,81.3, 0.00D
19981127,81.1, 0.00D
19981128,82.2, 0.00D
19981129,81.6, 0.00D
19981130,80.6, 0.00D
19981201,82, 0.00D
19981202,83.3, 0.00D
19981203,82.3, 0.00D
19981204,85.8, 0.00D
19981205,87.4, 0.00C
19981206,83.9, 0.00D
19981207,83.8, 0.00D
19981208,79.2, 0.00D
19981209,81.3, 0.00D
19981210,81.8, 0.00D
19981211,81.5, 0.00D
19981212,78.4, 0.00D
19981213,78.5, 0.00D
19981214,77, 0.00D
19981215,76.1, 0.00D
19981216,74, 0.00D
19981217,74.3, 0.00D
19981218,75.2, 0.00D
19981219,75, 0.00D
19981220,73, 0.00D
19981221,73.7, 0.00D
19981222,75.6, 0.00D
19981223,76.6, 0.00D
19981224,76.9, 0.00I
19981225,79.9, 0.00I
19981226,78.6, 0.00D
19981227,75.3, 0.00D
19981228,80, 0.00D
19981229,80.9, 0.00D
19981230,78.1, 0.00I
19981231,80.5, 0.00I
19990103,80.9, 0.00I
19990104,80.8, 0.00I
19990105,78.1, 0.00I
19990106,75.7, 0.00I
19990107,74.7, 0.00I
19990108,73.6, 0.00I
19990109,72.3, 0.00I
19990111,75.6, 0.00I
19990112,78.5, 0.00I
19990113,80.1, 0.00I
19990114,77.6, 0.00I
19990115,81.2, 0.00I
19990116,82.5, 0.00I
19990117,80.9, 0.00I
19990118,82.6, 0.00I
19990119,72.7, 0.00I
19990120,83.6, 0.00I
19990121,80.9, 0.00I
19990122,85.7, 0.00I
19990123,81.2, 0.00I
19990124,82.2, 0.00I
19990125,82.1, 0.00I
19990126,80.6, 0.00I
19990127,79.1, 0.00I
19990128,82.9, 0.00I
19990129,83.7, 0.00I
19990130,80.2, 0.00I
19990131,83.1, 0.00I
19990201,79.8, 0.00I
19990202,81.3, 0.00I
19990203,82.1, 0.00I
19990204,79.8, 0.00I
19990205,78.3, 0.00I
