ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN106,106,20160801,2016,3,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,3,Xinhua,International,"Multiple civil society sectors - including higher education, public administration, and unions - held strikes, marches and sit-ins over several weeks to demand better work and life conditions.",0,1561468964
204,BEN108,108,20161013,2016,2,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),Government of Benin (2016-),7,37,Western Africa,Benin,Zou,Djidja,,Djidja,7.344,1.934,1,Fraternite (Benin),National,"Unidentified gunmen shot at the vehicle of Djidjas Adjunct Mayor in Zou department, leaving him injured and the vehicle damaged.",0,1561468964
204,BEN109,109,20161014,2016,1,Riots,Mob violence,Rioters (Benin),Muslim Group (Benin),5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Donga,Ouake,,Semere,9.558,1.37,1,Matin Libre (Benin),National,"Clashes between police and Muslim rioters at a mosque in Semere, leaving eight people dead and several injured.",8,1561468964
204,BEN110,110,20161020,2016,2,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),,7,37,Western Africa,Benin,Zou,Abomey,,Djime,7.182,2.03,1,Fraternite (Benin),National,"Unidentified gunmen shot and killed two people in Djime, Zou department. They were found at two separate locations.",2,1561468964
204,BEN111,111,20161024,2016,1,Protests,Peaceful protest,Protesters (Benin),SYNTRASESH: National Union of Human Health Services Workers,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,La Nation (Benin),National,"Members of the National Union of Human Health Services Workers (Syntrashesh) held a sit-in and a peaceful march at the health ministry in Cotonou, calling for improved dialogue with authorities over their rights.",0,1561468964
204,BEN113,113,20161121,2016,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,Workers of the agricultural sector staged a sit-in to protest recent lay-offs.,0,1561468964
204,BEN115,115,20161127,2016,1,Violence against civilians,Abduction/forced disappearance,Pirates (Benin),,3,Civilians (International),Civilians (Russia); Civilians (Ukraine),7,37,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,2,AFP,International,Pirates abducted a crew of 18 Russian and Ukrainian sailors when they attacked their boat off the coast of Benin. They were released soon after and returned to Cotonou.,0,1561468964
204,BEN116,116,20161206,2016,1,Protests,Peaceful protest,Protesters (Benin),CSTB: Confederation of Trade Unions of Benin,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,"Hundreds of public and private sector workers, led by five of the seven syndicate unions and confederations of Benin, including CSTB, protested in Cotonou against the governments decision to privatise four state companies.",0,1561468964
204,BEN117,117,20170108,2017,1,Battles,Armed clash,Christian Militia (Benin),,4,Unidentified Ethnic Militia (Benin),,4,44,Western Africa,Benin,Zou,Abomey,,Djime,7.182,2.03,1,Xinhua,International,"Clashes between members of a congregation from Gbaname church and Vodou-cult followers on the Bohicon-Abomey axis in Djime after provocations left two people dead, several others injured and caused significant material damage.",2,1561468964
204,BEN118,118,20170109,2017,1,Protests,Peaceful protest,Protesters (Benin),Health Workers (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,Around a hundred specialised doctors held a sit-in at the national hospital and teaching centre of Cotonou to launch an unlimited strike calling for improved working conditions.,0,1561468964
204,BEN119,119,20170113,2017,1,Protests,Protest with intervention,Protesters (Benin),Journalists (Benin),6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,"Hundreds of national and international media professionals held a sit-in in Cotonou, calling for the re-opening of four TV channels and a radio station shut down by authorities. Police intervened to disperse the protest.",0,1561468964
204,BEN121,121,20170208,2017,1,Protests,Peaceful protest,Protesters (Benin),CSTB: Confederation of Trade Unions of Benin,6,,,0,60,Western Africa,Benin,Couffo,Djakotomey,,Aplahoue,6.933,1.683,1,La Nouvelle (Benin),National,"Couffo syndicates affiliated to the CSTB staged a peaceful march in Aplahoue to protest bad governance, particularly in response to the various strike movements held by teachers and doctors in the country.",0,1561468964
204,BEN122,122,20170316,2017,1,Protests,Peaceful protest,Protesters (Benin),CSTB: Confederation of Trade Unions of Benin; FESYNTRA-Finances: National Union of Financial Workers,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,24h au Benin,National,The Confederation of trade unions in Benin (CSTB) and the Federation of Financial administration syndicates (Fesyntra-finances) staged a sit-in in front of the National Assembly in Porto-Novo to protest draft laws on recruitment procedures.,0,1552577098
204,BEN123,123,20170320,2017,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI,International,Students boycotted classes over three days at Abomey-Calavi university in Cotonou over an October ruling forbiding student syndicates to operat. The ruling was nullified on 23 March.,0,1561468964
204,BEN124,124,20170321,2017,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI,International,Students boycotted classes over three days at Abomey-Calavi university in Cotonou over an October ruling forbiding student syndicates to operat. The ruling was nullified on 23 March.,0,1561468964
204,BEN125,125,20170322,2017,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI,International,Students boycotted classes over three days at Abomey-Calavi university in Cotonou over an October ruling forbiding student syndicates to operat. The ruling was nullified on 23 March.,0,1561468964
